_id,Service name,Address,County,ig_xcord,ig_ycord
147,Connolly Hospital (Silver Birch & Woodland Units),"Connolly Hospital (Silver Birch & Woodland Units), Blanchardstown, Dublin 15, Dublin 15",Dublin,308444.7422,239331.5489
148,Coral Haven Residential Nursing Home,"Coral Haven Nursing Home, Headford Road, Galway, Galway",Galway,130940.7876,228018.8301
149,Corbally House Nursing Home,"Corbally House Nursing Home, Mill Road, Corbally, Limerick, Limerick",Limerick,157967.6593,159758.0809
150,Corpus Christi Nursing Home,"Corpus Christi Nursing Home, Brigown, Mitchelstown, Co. Cork, Cork",Cork,181687.3364,112307.0179
151,Corrandulla Nursing Home,"Corrandulla Nursing Home, Corandulla, Galway, Co. Galway, Galway",Galway,133720.0905,239045.4203
152,Costello's Care Centre,"Costello's Care Centre, Lanesboro Road, Ballyleague, Co. Roscommon, Roscommon",Roscommon,180399.9663,271456.8515
153,Cottage Hospital,"Drogheda Services for the Elderly, Cottage Hospital, Scarlet Street, Drogheda, Co. Louth Louth",Louth,309160.92,275634.6786
154,Cottage Nursing Home,"Cottage Nursing Home, Irishtown, Clonmel, Tipperary, Tipperary",Tipperary,219728.8075,122291.3408
155,Craddock House,"Craddockstown House, Cradockstown Demesne, Naas, Co. Kildare, W91a991",Kildare,290736.5006,217560.5779
156,Cramers Court Nursing Home,"Cramer's Court Nursing Home, Belgooly, Kinsale, Co. Cork, Cork",Cork,166821.4344,53813.9587
157,Cuan Chaitriona Nursing Home,"Cuan Chaitriona Nursing Home, The Lawn, Castlebar, Co. Mayo, Mayo",Mayo,115072.6965,290145.7024
158,Cuil Didin,"Cuil Didin, Skahanagh, Tralee, Co. Kerry, Kerry",Kerry,84577.99384,111822.3747
159,Curragh Lawn Nursing Home,"Curragh Lawn Nursing Home, Kinneagh, Curragh, Co. Kildare, Kildare",Kildare,281640.1115,210974.4816
160,D'Alton Community Nursing Unit,"D'Alton Community Nursing Unit, Claremorris, Co. Mayo, Mayo",Mayo,134216.3088,275330.6659
161,Dalkey Community Unit for Older Persons,"Dalkey Community Unit for Older Persons, Kilbegnet Close, Dalkey, Co. Dublin, Co. Dublin",Dublin,326295.4786,226915.8061
162,Dalkey Lodge Nursing Home,"Dalkey Lodge Nursing Home, Ardbrugh Road, Dalkey, Co. Dublin, Co. Dublin",Dublin,326040.1762,226223.1799
163,Dargle Valley Nursing Home,"Dargle Hill, Enniskerry, Co. Wicklow, A98n478",Wicklow,324185.9696,217077.8129
164,Darraglynn Nursing Home,"Darraglynn Nursing Home, Carrigaline Road, Douglas, Cork, Cork",Cork,170611.7445,68293.59749
165,Dealgan House Nursing Home,"Dealgan House Nursing Home, Toberona, Dundalk, Co. Louth, Louth",Louth,302921.9985,309099.5146
166,Dean Maxwell Community Nursing Unit,"Dean Maxwell Community Nursing Unit, The Valley, Roscrea, Co. Tipperary, Tipperary",Tipperary,213828.1378,189498.6123
167,Deerpark House,"Deerpark House Nursing Home, Seafield, Bantry, Co. Cork, Cork",Cork,99032.45874,48376.73295
168,Deerpark Nursing Home,"Deerpark Nursing Home, Deerpark, Lattin, Co. Tipperary, Tipperary",Tipperary,183543.2662,135622.3891
169,Donore Nursing Home,"13 Sidmonton Road, Bray, Co. Wicklow, A98h336",Wicklow,326828.0286,218201.6869
170,Douglas Nursing and Retirement Home,"Douglas Nursing and Retirement Home, Moneygourney, Douglas, Cork, Cork",Cork,172340.5273,67680.7942
171,Drakelands House Nursing Home,"Drakelands House Nursing Home, Drakelands, Kilkenny, Kilkenny",Kilkenny,248492.0576,155472.0029
172,Droimnin Nursing Home,"Droimnin Nursing Home, Brockley Park, Stradbally, Laois, Laois",Laois,257283.5496,196249.8254
173,Drumbear Lodge Nursing Home,"Drumbear Lodge Nursing Home, Cootehill Road, Monaghan, Monaghan",Monaghan,264319.862,319018.2802
174,Drumderrig House,"Drumderrig House, Abbeytown, Boyle, Co. Roscommon, Roscommon",Roscommon,181356.754,302969.8895
175,Dunabbey House,"Dunabbey House, Dungarvan Community Hospital, Dungarvan, Co. Waterford, Waterford",Waterford,260700.0994,112615.0896
176,Dungarvan Community Hospital,"Dungarvan, Waterford, Waterford",Waterford,227066.8711,96147.82398
177,Dunmanway Community Hospital,"Dunmanway Community Hospital, Dunmanway, Co. Cork, Cork",Cork,123117.3718,52746.37597
178,"Earlsbrook House Nursing Home,","41 Meath Road, Bray, Co. Wicklow, A98dh95",Wicklow,327030.8266,218274.5689
179,East Ferry House Nursing Home,"East Ferry House Nursing Home, East Ferry, Midleton, Co. Cork, Cork",Cork,185694.3771,67387.58298
180,Eliza Lodge Nursing Home,"Eliza Lodge Nursing Home, Boheradurrow, Five Roads, Banagher, Co. Offaly Offaly",Offaly,200894.9375,215455.5534
181,Elm Green Nursing Home,"Elm Green Nursing Home, New Dunsink Lane, Castleknock, Dublin 15, Dublin 15",Dublin,309715.8656,238702.5787
182,"Elm Grove Nursing Home,","Elm Grove, Syngefield, Birr, Co. Offaly, R42py13",Offaly,206720.6565,204958.4689
183,Elm Hall Nursing Home,"Elmhall, Celbridge, Co. Kildare, W23p6ex",Kildare,298843.4696,232812.1559
184,Elmhurst Nursing Home,"Elmhurst Nursing Home, Hampstead Avenue, Glasnevin, Dublin 9, Dublin 9",Dublin,315685.9824,238223.0631
185,Ennis Nursing Home,"Ennis Nursing Home, Showgrounds Road, Drumbiggle, Ennis, Co. Clare Clare",Clare,132918.5409,176652.4089
186,Ennistymon Community Hospital,"Ennistymon Community Hospital, Dough, Ennistymon, Co. Clare, Clare",Clare,113460.0251,187900.3879
187,Esker Lodge Nursing Home,"Esker Lodge Nursing Home, Esker Place, Cathedral Road, Cavan, Cavan",Cavan,241834.1851,304557.4537
188,Esker Ri,"Esker Ri Nursing Home, Tullamore Road, Clara, Offaly",Offaly,233049.4616,225980.0267
189,Eyrefield Manor Nursing Home,"Church Lane, Greystones, Co. Wicklow, A63kn63",Wicklow,329098.9066,212442.2659
190,Fairfield Nursing Home,"Fairfield Nursing Home, Quarry Road, Drimoleague, Co. Cork, Cork",Cork,112874.4279,46142.65662
191,Fairlawns Nursing Home,"Fairlawns Private Nursing Home, Cavan Road, Baileboro, Co. Cavan, Cavan",Cavan,241834.1851,304557.4537
192,Fairview Community Unit,"Fairview Community Unit, Griffith Court, Fairview, Dublin 3, Dublin 3",Dublin,317073.132,236725.674
193,Falcarragh Communty Hospital,"Otharlann Phobail an FhÃ¡lcarraigh, Aonad Altranais an FhÃ¡lcarraigh, Baile Chonaill, An FÃ¡lcarrach, Co DhÃºn na nGall",Donegal,193470.2955,432165.1634
194,Farranlea House Community Nursing Unit,"Farranlea House CNU, Farranlea Road, Wilton, Cork, Cork",Cork,164537.5819,71156.63348
195,Fearna Manor Nursing Home,"Fearna Manor Nursing Home, Tarmon Road, Castlerea, Co. Roscommon, Roscommon",Roscommon,168100.8742,280311.3972
196,Fearna Nursing Home,"Fearna Nursing Home, Bishop Street, Elphin, Co. Roscommon, Roscommon",Roscommon,187417.2815,288877.401
197,Fermoy Community Hospital,"Fermoy Community Hospital, Tallow Road, Fermoy, Co. Cork, Cork",Cork,182473.9925,98614.01355
198,Ferndene Nursing Home Blackrock,"Ferndene Nursing Home Blackrock, Deansgrange Road, Blackrock, Co. Dublin",Dublin,322440.59,227064.359
199,Fingal House Nursing Home,"Seatown West, Swords, Co. Dublin, K67ve44",Dublin,318471.8526,247479.946
200,First Care Blainroe Lodge,"Blainroe Lodge, Blainroe, Wicklow, A67vk52",Wicklow,332972.4066,190110.5779
201,Flannery's Nursing Home,"Flannery's Nursing Home, Chapel Road, Abbeyknockmoy, Tuam, Co. Galway Galway",Galway,151778.3254,243495.7903
202,Fold Ireland Anam Cara Housing with Care,"Fold Ireland Anam Cara Housing with Care, St Canice's Road, Glasnevin, Dublin 11, Co. Dublin",Dublin,314846.875,238249.016
203,Friars Lodge Nursing Home,"Friars Lodge Nursing Home, Convent Road, Ballinrobe, Co. Mayo, Mayo",Mayo,120036.6661,264498.6274
204,Gahan House,"Gahan House, Graiguenamanagh, Co. Kilkenny, Kilkenny",Kilkenny,270855.4092,143858.1274
205,Gallen Priory Nursing Home,"Gallen Priory Nursing home, Main Street, Ferbane, Co. Offaly, Offaly",Offaly,211519.9902,224840.2236
206,Garbally View Nursing Home,"Garbally View Nursing Home, Brackernagh, Ballinasloe, Co. Galway, Galway",Galway,184028.6195,230238.6989
207,Gascoigne House Nursing Home,"Gasgoigne House, 37-39 Cowper Road, Dublin 6, D06hw18",Dublin,316134.5316,231051.1879
208,Glanmire Residential Care Ltd.,"Glanmire Residential Care Ltd., Glyntown, Glanmire, Co. Cork, Cork",Cork,173337.1979,74700.20666
209,Glebe Nursing Home,"Glebe Road, Enniskerry Road, Dublin 18, D18y201",Dublin,320051.8136,222756.5779
210,Glenashling Nursing Home,"Oldtown Road, Celbridge, Co. Kildare, W23x279",Kildare,296117.0876,233506.9799
211,Glenaulin Nursing Home,"Glenaulin, Dublin 20, D20yt66",Dublin,309480.0216,234903.5249
212,Glencarrig Nursing Home,"Glencarrig Court, Dublin 24, D24kf29",Dublin,309973.2666,226278.2249
213,Glendale Nursing Home,"Glendare Nursing Home, Tullow, Co. Carlow, Carlow",Carlow,286998.4054,173392.0526
214,Glendonagh Residential Home,"Glendonagh Residential Home, Dungourney, Midleton, Co Cork, Cork",Cork,193498.3078,80711.68532
215,Glengara Park Nursing Home,"Glenageary Road Lower, Glenageary, Co. Dublin, A96h242",Dublin,324612.7146,227747.9879
216,Good Counsel Nursing Home,"Good Counsel Nursing Home, Kilmallock Road, Limerick, Limerick",Limerick,158987.2432,156080.7161
217,Gormanston Wood Nursing Home,"Gormanston Wood Nursing Home, Gormanston, Co. Meath, Meath",Meath,317850.9259,266232.7519
218,Gowran Abbey Nursing Home,"Gowran Abbey Nursing Home, Gowran, Co. Kilkenny, Kilkenny",Kilkenny,263102.1039,153430.592
219,Grange Con Nursing Home,"Grange Con Nursing Home, Coolatanavally, Carrigrohane, Co. Cork, Cork",Cork,157955.4367,74070.99782
220,Greenhill Nursing Home,"Greenhill Nursing Home, Waterford Road, Carrick-on-Suir, Tipperary, Tipperary",Tipperary,241056.9977,122282.6233
221,Greenpark Nursing Home,"Greenpark Nursing Home, Tullinadaly Road, Tuam, Co. Galway, Galway",Galway,143418.8908,252628.5974
222,Greystones Nursing Home,"Church Road, Greystones, Co. Wicklow, A63hk44",Wicklow,329320.0946,212598.9379
223,Griffeen Valley Nursing Home,"Esker Road, Lucan, Co. Dublin, K78v208",Dublin,303913.9386,234336.2809
224,Hamilton Park,"Hamilton Park, Baltrothery, Balbriggan, Co. Dublin, Co. Dublin Co. Dublin",Dublin,319951.5141,261253.8834
225,Harbour Lights Nursing Home,"Harbour Lights Nursing Home, Townasligo, Bruckless, Co. Donegal, Donegal",Donegal,172706.8256,377161.0849
226,Harvey Nursing Home,"Harvey Nursing Home, 25 Upper Glenageary Road, Glenageary, Co. Dublin, Co. Dublin",Dublin,323764.2965,227452.8651
227,Harvey Nursing Home Terenure,"122 Terenure Road West, Dublin 6w, D6wpw58",Dublin,313446.9346,230364.7069
228,Haven Bay Care Centre,"Haven Bay Care Centre, Ballinacubby, Kinsale, Co. Cork, Cork",Cork,163255.5901,50210.77986
229,Haven Wood Retirement Home,"Haven Wood Retirement Home, Bishopscourt, Ballygunner, Waterford, Waterford",Waterford,260700.0994,112615.0896
230,Hazel Hall Nursing Home,"Prosperous Road, Clane, Co. Kildare, W91da07",Kildare,286517.0866,227364.0969
231,Heather House Community Nursing Unit,"Heather House Community Nursing Unit, St Marys Orthopaedic Hospital, Gurranabraher, Cork, Cork",Cork,165828.7856,72591.36043
232,Heatherfield Nursing Home,"Heatherfield Nursing Home, Bush Lane, Raynestown, Dunshaughlin, Co. Meath Meath",Meath,298195.3963,248296.592
233,Heatherlee Nursing Home,"Heatherlee Nursing Home, Lawlor's Cross, Tralee Road, Killarney, Kerry",Kerry,95923.26954,96576.74409
234,Hillcrest House,"NURSING HOME, LONG LANE, LETTERKENNY, CO. DONEGAL",Donegal,216488.1436,412761.5911
235,Hillside Nursing Home,"Hillside Nursing Home, Attidermot, Aughrim, Ballinasloe, Co. Galway Galway",Galway,178603.9304,227955.9192
236,Hillview Nursing Home,"Hillview Nursing Home, Tullow Road, Carlow, Carlow",Carlow,273211.8725,176522.8134
237,Hillview Private Nursing & Retirement Residence,"Hillview Private Nursing & Retirement Residence, Rathfeigh, Tara, Co. Meath, Meath",Meath,300248.5158,261321.0448
238,Hollymount Private Nursing and Retirement Home,"Hollymount Private Nursing and Retirement Home, Kilrush, Hollymount, Co. Mayo, Mayo",Mayo,125926.9206,268140.4766
239,Holy Family Nursing Home,"Holy Family Nursing Home, Magheramore, Killimor, Ballinasloe, Galway Galway",Galway,180508.8917,213474.5857
240,Holy Ghost Residential Home,"Holy Ghost Residential Home, Cork Road, Waterford, Waterford",Waterford,260037.6043,111432.439
241,Howth Hill Lodge,"Howth Hill Lodge, Thormanby Road, Howth, Co. Dublin, Co. Dublin",Dublin,329459.5514,237920.1321
242,Innis Ree Lodge,"Innis Ree Lodge, Ballyleague, Lanesboro, Co. Roscommon, Roscommon",Roscommon,199958.9015,269775.4368
243,Kanturk Community Hospital,"Kanturk Community Hospital, Kanturk, Co. Cork, Cork",Cork,138038.4266,103182.3185
244,Kenmare Community Nursing Unit- New Build,"Hospital Road, Kenmare, Co. Kerry, Kerry",Kerry,91173.953,71840.359
245,Kenmare Nursing Home 'Tir na nOg',"Kenmare Nursing Home 'Tir na nOg', Killaha East, Kenmare, Co. Kerry, Kerry",Kerry,89682.5491,69066.60504
246,Kerlogue Nursing Home,"Kerlogue Nursing Home, Kerlogue, Wexford, Wexford",Wexford,305286.2129,118998.629
247,Kilbrew Recuperation and Nursing Care,"Kilbrew Recuperation and Nursing Care, Curragh, Ashbourne, Co. Meath, Meath",Meath,303084.3496,255179.3649
248,Kilcara House Nursing Home,"Kilcara House Nursing Home, Kilcara, Duagh, Listowel, Co. Kerry Kerry",Kerry,105443.6267,130219.8495
249,Kilcolgan Nursing Home,"Kilcolgan Nursing Home, Kilcolgan, Co. Galway, Galway",Galway,142597.0775,218018.34
250,"Killarney Community Hospitals (Fuschia, Hawthorn and Heather Wards)","Killarney Community Hospitals (Fuschia, Hawthorn and Heather Wards), St. Margaret's Road, Killarney, Co. Kerry Kerry",Kerry,95895.83925,91608.71083
251,Killarney Nursing Home,"Killarney Nursing Home, Rock Road, Killarney, Co. Kerry, Kerry",Kerry,96075.51813,91190.93023
252,Killeline Nursing Home,"Killeline Nursing Home, Cork Road, Newcastle West, Co. Limerick, Limerick",Limerick,128922.6064,133125.5164
253,Killiney Grove Nursing Home,"Killiney Grove Nursing Home, Killiney Hill Road, Killiney, Co. Dublin, Co. Dublin",Dublin,325556.2568,226104.9966
254,Killure Bridge Nursing Home,"Killure Bridge Nursing Home, Airport Road, Waterford, Waterford",Waterford,260700.0994,112615.0896
255,Killybegs Community Hospital,"Killybegs Community Hospital, Killybegs, Co. Donegal, Donegal",Donegal,171230.8212,377028.0578
256,Kilmainhamwood Nursing Home,"Kilmainhamwood Nursing Home, Kilmainhamwood, Kells, Co. Meath, Meath",Meath,277449.3404,274531.7939
257,Kilminchy Lodge Nursing Home,"Kilminchy, Portlaoise, Co. Laois, R32wk35",Laois,249051.0945,199434.9219
258,Kilrush District Hospital,"Kilrush District Hospital Ltd., Cooraclare Road, Kilrush, Co. Clare, Clare",Clare,99492.38875,155504.2905
259,Kilrush Nursing Home,"Kilrush Nursing Home, Kilimer Road, Kilrush, Co. Clare, Clare",Clare,100635.5,153563.8442
260,Kiltipper Woods Care Centre,"Stanford Woods Care Centre Ltd, T/A Kiltipper Woods Care Centre, Kiltipper Road, Dublin 24",Dublin,309012.0571,225272.2398
261,Kiltormer Nursing Home,"Kiltormer Nursing Home, Kiltomer, Ballinasloe, Co. Galway, Galway",Galway,182381.9795,220281.2905
262,Kinsale Community Hospital,"Kinsale Community Hospital, Kinsale, Co. Cork, Cork",Cork,163855.9301,50539.97144
263,Kinvara House,"Kinvara House Nursing Home, 3 - 4 Esplanade, Strand Road, Bray, Co.Wicklow Wicklow",Wicklow,327076.8656,218583.7829
264,Knightsbridge Nursing Home,"Knightsbridge Nursing Home, Longwood Road, Trim, Co. Meath, Meath",Meath,279984.6903,256037.3781
265,Knockeen Nursing Home,"Knockeen Nursing Home, Knockeen, Barntown, Wexford, Wexford",Wexford,297264.6672,122482.1799
266,Kylemore House Nursing Home,"Kylemore House Nursing Home, Sidmonton Road, Bray, Co. Wicklow, Wicklow",Wicklow,326988.0652,217930.2977
267,La Verna Nursing Home,"La Verna Nursing Home, 30 Haddon Road, Clontarf, Dublin 3, Dublin 3",Dublin,319072.8399,236140.9581
268,Lake House Nursing Home,"Lake House Nursing Home, Portnablagh, Co. Donegal, Donegal",Donegal,204573.0585,436409.8385
269,Lakes Nursing Home,"Hill Road, Killaloe, Co. Clare, Clare",Clare,169771.1225,172864.0109
270,Larchfield Park Nursing Home,"Larchfield Park Nursing Home, Monread Road, Naas, Co. Kildare, Kildare",Kildare,290438.9772,221472.2009
271,Laurel Lodge Nursing Home,"Laurel Lodge Nursing Home, Templemichael Glebe, Longford, Co. Longford, Longford",Longford,214865.3048,276219.1857
272,Lawson House Nursing Home,"Lawson House Nursing Home, Knockrathkyle, Glenbrien, Enniscorthy, Co. Wexford Wexford",Wexford,300830.8174,136581.0571
273,Leeson Park House Nursing Home,"Leeson Park House Nursing Home, 10 Leeson Park, Ranelagh, Dublin 6, Dublin 6",Dublin,316790.9895,232081.5862
274,Leopardstown Park Hospital,"Leopardstown Park Hospital, Foxrock, Dublin 18, Dublin 18",Dublin,319999.4315,225879.019
275,Lifford Community Hospital,"Lifford Community Hospital, Lifford, Co. Donegal, Donegal",Donegal,233330.1629,398460.3601
276,Lir Retirement Home,"Lir Retirement Home, Tournafulla, Co.Limerick, Limerick, Limerick",Limerick,121240.6644,124252.0226
277,Lisdarn Centre,"Lisdarn Centre, Lisdarn Health Centre, Cavan, Cavan",Cavan,241834.1851,304557.4537
278,Lisheen Nursing Home,"Lisheen Nursing Home, Stoneylane, Rathcoole, Co. Dublin, Co. Dublin",Dublin,302178.5772,226583.6732
279,Listowel Community Hospital,"Listowel Community Hospital St. Joseph's Ward, Listowel, Co. Kerry, Kerry",Kerry,98199.84059,133859.3275
280,Little Flower Nursing Home,"Little Flower Nursing Home, Labane, Ardrahan, Co. Galway, Galway",Galway,146412.2106,210641.9905
281,Lough Corrib Nursing Home,"Lough Corrib Nursing Home, Kilbeg, Headford, Co. Galway, Galway",Galway,126499.7061,247168.2197
282,Lough Erril Private Nursing Home,"Lough Erril Private Nursing Home, Lough Erril, Mohill, Co. Leitrim, Leitrim",Leitrim,205191.678,296863.8551
283,Lourdesville Nursing Home,"Lourdesville Nursing Home, Athy Road, Kildare Town, Co. Kildare, Kildare",Kildare,272910.1748,212561.0234
284,Lucan Lodge Nursing Home,"Lucan Lodge Nursing Home, Ardeevin Drive, Lucan, Co. Dublin, Co. Dublin",Dublin,302796.7121,234810.799
285,Lusk Community Unit,"Lusk Community Unit, Station Road, Lusk, Co. Dublin, Co. Dublin",Dublin,322595.8059,254020.9403
286,Lystoll Lodge Nursing Home,"Lystoll Lodge Nursing Home, Skehenerin, Listowel, Co. Kerry, Kerry",Kerry,101968.3115,133938.3234
287,Mac Bride Community Nursing Unit,"Mac Bride Community Nursing Unit, Westport, Co. Mayo, Mayo",Mayo,99720.20246,284285.6632
288,Macroom Community Hospital,"Macroom Community Hospital, Macroom, Co. Cork, Cork",Cork,133934.6776,72954.37815
289,Maple Court Nursing Home,"Maple Court Nursing Home, Dublin Road, Castlepollard, Mullingar, Co. Westmeath Westmeath",Westmeath,247133.682,269276.1658
290,Maria Goretti Nursing Home,"Maria Goretti Nursing Home, Proonts, Kilmallock, Co. Limerick, Limerick",Limerick,159192.4986,155815.6038
291,Marian House,"Marian House, Congregation of the Holy Spirit, Kimmage Manor, Whitehall Road, Dublin 12 Dublin 12",Dublin,312720.3744,230036.7835
